No,Date,LOCO_SPEED,gps_latitude,gps_longitude
285,00:04:44,11,39.3911,38.1137
286,00:04:45,11,39.3911,38.1137
287,00:04:46,12,39.3911,38.1137
288,00:04:47,12,39.3911,38.1137
289,00:04:48,12,39.3911,38.1137
290,00:04:49,12,39.391,38.1136
291,00:04:50,12,39.391,38.1136
292,00:04:51,12,39.391,38.1136
293,00:04:52,13,39.391,38.1136
294,00:04:53,12,39.391,38.1136
295,00:04:54,12,39.3908,38.1136
296,00:04:55,12,39.3908,38.1136
297,00:04:56,12,39.3908,38.1136
298,00:04:57,12,39.3908,38.1136
299,00:04:58,12,39.3906,38.1135
300,00:04:59,12,39.3906,38.1135
301,00:05:00,12,39.3906,38.1135
302,00:05:01,12,39.3906,38.1135
303,00:05:02,12,39.3906,38.1135
304,00:05:03,12,39.3905,38.1135
305,00:05:04,12,39.3905,38.1135
306,00:05:05,13,39.3905,38.1135
307,00:05:06,13,39.3905,38.1135
308,00:05:07,13,39.3905,38.1135
309,00:05:08,13,39.3903,38.1134
310,00:05:09,13,39.3903,38.1134
311,00:05:10,13,39.3903,38.1134
312,00:05:11,13,39.3903,38.1134
313,00:05:12,14,39.3903,38.1134
314,00:05:13,14,39.3902,38.1134
315,00:05:14,14,39.3902,38.1134
316,00:05:15,14,39.3902,38.1134
317,00:05:16,14,39.3902,38.1134
318,00:05:17,14,39.3902,38.1134
319,00:05:18,14,39.39,38.1133
320,00:05:19,14,39.39,38.1133
321,00:05:20,14,39.39,38.1133
322,00:05:21,14,39.39,38.1133
323,00:05:22,14,39.39,38.1133
324,00:05:23,14,39.3898,38.1133
325,00:05:24,13,39.3898,38.1133
326,00:05:25,13,39.3898,38.1133
327,00:05:26,12,39.3898,38.1133
328,00:05:27,11,39.3898,38.1133
329,00:05:28,10,39.3897,38.1133
330,00:05:29,9,39.3897,38.1133
331,00:05:30,9,39.3897,38.1133
332,00:05:31,9,39.3897,38.1133
333,00:05:32,9,39.3897,38.1133
334,00:05:33,9,39.3896,38.1133
335,00:05:34,9,39.3896,38.1133
336,00:05:35,9,39.3896,38.1133
337,00:05:36,9,39.3896,38.1133
338,00:05:37,9,39.3896,38.1133
339,00:05:38,10,39.3894,38.1133
340,00:05:39,10,39.3894,38.1133
341,00:05:40,10,39.3894,38.1133
342,00:05:41,10,39.3894,38.1133
343,00:05:42,11,39.3894,38.1133
344,00:05:43,11,39.3893,38.1132
